Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CAPPM_Adapter_Regression_POC,Chrome 64.0.3282.167,,2018-02-14 15:49:22,2018-02-14 15:50:25,1m - 2.655s,ERROR
,,,,,,
Test Cases/Main Test Cases/LoginCAPPM,Chrome 64.0.3282.167,Login to CA PPM :\n\nSteps:\n1.Enter the URL\n2.Give Username and Password\n\nExpected Result:\nCA PPM Home Page is displayed,2018-02-14 15:49:22,2018-02-14 15:50:03,40.767s,ERROR
callTestCase,Chrome 64.0.3282.167,,2018-02-14 15:49:24,2018-02-14 15:49:25,1.598s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-14 15:49:25,2018-02-14 15:49:27,1.769s,PASSED
newpackage.newkeyword.keywordName,Chrome 64.0.3282.167,,2018-02-14 15:49:27,2018-02-14 15:49:27,0.381s,PASSED
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 15:49:27,2018-02-14 15:49:27,0.000s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 15:49:27,2018-02-14 15:49:27,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""LoginPage TestCase"")",Chrome 64.0.3282.167,,2018-02-14 15:49:27,2018-02-14 15:49:27,0.001s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-14 15:49:27,2018-02-14 15:49:33,5.513s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-14 15:49:33,2018-02-14 15:49:34,1.168s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-14 15:49:34,2018-02-14 15:49:56,21.922s,PASSED
delay,Chrome 64.0.3282.167,,2018-02-14 15:49:56,2018-02-14 15:49:59,3.018s,PASSED
"Statement - extentTest1.log(INFO, ""Browser Launched"")",Chrome 64.0.3282.167,,2018-02-14 15:49:59,2018-02-14 15:49:59,0.014s,PASSED
"Statement - username = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Login/input_userName), 3)",Chrome 64.0.3282.167,,2018-02-14 15:49:59,2018-02-14 15:50:03,4.117s,PASSED
,,,,,,
Test Cases/Main Test Cases/ValidationFields,Chrome 64.0.3282.167,,2018-02-14 15:50:03,2018-02-14 15:50:09,5.543s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""Validation Fields TestCase"")",Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.002s,PASSED
Statement - myData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FieldsValidation),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.122s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.002s,PASSED
Statement - row = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.000s,PASSED
Statement - list_first_column = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.001s,PASSED
Statement - list_second_column = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.001s,PASSED
Statement - excel_field_names = new java.util.LinkedHashMap(),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.001s,PASSED
"Statement - For ([i = 1, i <= row, (i++)])",Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.046s,PASSED
Statement - println(list_first_column),Chrome 64.0.3282.167,,2018-02-14 15:50:05,2018-02-14 15:50:05,0.009s,PASSED
