Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CAPPM_Adapter_Regression_POC,Chrome 64.0.3282.167,,2018-02-14 11:54:58,2018-02-14 11:55:52,54.015s,ERROR
,,,,,,
Test Cases/Main Test Cases/LoginCAPPM,Chrome 64.0.3282.167,Login to CA PPM :\n\nSteps:\n1.Enter the URL\n2.Give Username and Password\n\nExpected Result:\nCA PPM Home Page is displayed,2018-02-14 11:54:58,2018-02-14 11:55:35,37.250s,ERROR
callTestCase,Chrome 64.0.3282.167,,2018-02-14 11:54:59,2018-02-14 11:55:00,1.276s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-14 11:55:00,2018-02-14 11:55:02,1.655s,PASSED
newpackage.newkeyword.keywordName,Chrome 64.0.3282.167,,2018-02-14 11:55:02,2018-02-14 11:55:02,0.327s,PASSED
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:55:02,2018-02-14 11:55:02,0.002s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:55:02,2018-02-14 11:55:02,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""LoginPage TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:55:02,2018-02-14 11:55:02,0.002s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-14 11:55:02,2018-02-14 11:55:10,7.188s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-14 11:55:10,2018-02-14 11:55:11,1.158s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-14 11:55:11,2018-02-14 11:55:32,21.178s,PASSED
"Statement - extentTest1.log(INFO, ""Browser Launched"")",Chrome 64.0.3282.167,,2018-02-14 11:55:32,2018-02-14 11:55:32,0.009s,PASSED
"Statement - username = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Login/input_userName), 3)",Chrome 64.0.3282.167,,2018-02-14 11:55:32,2018-02-14 11:55:35,3.245s,PASSED
,,,,,,
Test Cases/Main Test Cases/ValidationFields,Chrome 64.0.3282.167,,2018-02-14 11:55:35,2018-02-14 11:55:40,4.519s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:55:36,2018-02-14 11:55:36,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:55:36,2018-02-14 11:55:36,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""Validation Fields TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:55:36,2018-02-14 11:55:36,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.001s,PASSED
Statement - myData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FieldsValidation),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.202s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.003s,PASSED
Statement - row = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.000s,PASSED
Statement - list_first_column = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.001s,PASSED
Statement - list_second_column = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.000s,PASSED
Statement - excel_field_names = new java.util.LinkedHashMap(),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.000s,PASSED
"Statement - For ([i = 1, i <= row, (i++)])",Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.049s,PASSED
Statement - println(list_first_column),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.001s,PASSED
Statement - println(list_second_column),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.001s,PASSED
Statement - println(excel_field_names),Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:37,0.000s,PASSED
"Statement - home_page = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Job Type CA PPM Adapte/span_Home), 3)",Chrome 64.0.3282.167,,2018-02-14 11:55:37,2018-02-14 11:55:40,3.181s,PASSED
,,,,,,
Test Cases/Main Test Cases/AddBussinessRule,Chrome 64.0.3282.167,,2018-02-14 11:55:40,2018-02-14 11:55:44,3.808s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:55:41,2018-02-14 11:55:41,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:55:41,2018-02-14 11:55:41,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""Add BussinessRules TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:55:41,2018-02-14 11:55:41,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 11:55:41,2018-02-14 11:55:41,0.000s,PASSED
"Statement - FileProperties_rule = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CA PPM  Overview General/FileProperties), 3)",Chrome 64.0.3282.167,,2018-02-14 11:55:41,2018-02-14 11:55:44,3.231s,PASSED
,,,,,,
Test Cases/Main Test Cases/RunTransactionAdaptorJob,Chrome 64.0.3282.167,"Financial Transaction Adaptor Job :\n\nSteps:\na. Go to Home-> Personal -> Jobs\nb. Search for the \u2018CA PPM Adapter Client\u2019 Job\nc. Open it and enter the parameter value as \""Transaction\"" submit it to run it immediately\n \nExpected Result :\nJob is executed successfully\n",2018-02-14 11:55:44,2018-02-14 11:55:49,5.010s,PASSED
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:55:44,2018-02-14 11:55:44,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:55:44,2018-02-14 11:55:44,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""RunTransactionAdaptor Job TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:55:44,2018-02-14 11:55:44,0.001s,PASSED
Statement - Try,Chrome 64.0.3282.167,,2018-02-14 11:55:44,2018-02-14 11:55:48,3.175s,PASSED
Statement - Catch (Exception e),Chrome 64.0.3282.167,,2018-02-14 11:55:48,2018-02-14 11:55:48,0.697s,PASSED
Statement - Finally,Chrome 64.0.3282.167,,2018-02-14 11:55:48,2018-02-14 11:55:49,0.617s,PASSED
,,,,,,
Test Cases/Main Test Cases/ValidationTestCases,Chrome 64.0.3282.167,Transaction Adaptor Portlet :\n \nAll the validation error messages are displayed\n \nSteps:\n1.From Home -> Custom Objects -> Transaction Adaptor -> All the Validation error messages are displayed.\n \nExpected Result:\nValidation error messages are displayed.\n\n,2018-02-14 11:55:49,2018-02-14 11:55:50,0.799s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.000s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""Validation ErrorMessages TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
Statement - myData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Test_Case_Validation),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.059s,PASSED
"Statement - myData.changeSheet(""Error_Messages"")",Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.003s,PASSED
Statement - row = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.000s,PASSED
Statement - list = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
"Statement - For ([i = 1, i <= row, (i++)])",Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.017s,PASSED
Statement - println(list),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
"Statement - myData.changeSheet(""Error_Message_Validation"")",Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.007s,PASSED
Statement - row1 = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
Statement - list1 = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.000s,PASSED
Statement - list2 = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.001s,PASSED
"Statement - For ([i = 1, i <= row1, (i++)])",Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.013s,PASSED
Statement - println(list1),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.000s,PASSED
Statement - println(list2),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.000s,PASSED
Statement - myData1 = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Input_File),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.062s,PASSED
Statement - input_rows = myData1.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:55:50,2018-02-14 11:55:50,0.000s,PASSED
