Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CAPPM_Adapter_Regression_POC,Chrome 64.0.3282.167,,2018-02-14 11:57:34,2018-02-14 11:58:24,49.478s,ERROR
,,,,,,
Test Cases/Main Test Cases/LoginCAPPM,Chrome 64.0.3282.167,Login to CA PPM :\n\nSteps:\n1.Enter the URL\n2.Give Username and Password\n\nExpected Result:\nCA PPM Home Page is displayed,2018-02-14 11:57:34,2018-02-14 11:58:07,33.097s,ERROR
callTestCase,Chrome 64.0.3282.167,,2018-02-14 11:57:35,2018-02-14 11:57:37,1.390s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-14 11:57:37,2018-02-14 11:57:38,1.387s,PASSED
newpackage.newkeyword.keywordName,Chrome 64.0.3282.167,,2018-02-14 11:57:38,2018-02-14 11:57:39,0.397s,PASSED
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:57:39,2018-02-14 11:57:39,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:57:39,2018-02-14 11:57:39,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""LoginPage TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:57:39,2018-02-14 11:57:39,0.002s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-14 11:57:39,2018-02-14 11:57:43,4.291s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-14 11:57:43,2018-02-14 11:57:44,1.218s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-14 11:57:44,2018-02-14 11:58:04,20.245s,PASSED
"Statement - extentTest1.log(INFO, ""Browser Launched"")",Chrome 64.0.3282.167,,2018-02-14 11:58:04,2018-02-14 11:58:04,0.010s,PASSED
"Statement - username = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Login/input_userName), 3)",Chrome 64.0.3282.167,,2018-02-14 11:58:04,2018-02-14 11:58:07,3.213s,PASSED
,,,,,,
Test Cases/Main Test Cases/ValidationFields,Chrome 64.0.3282.167,,2018-02-14 11:58:08,2018-02-14 11:58:12,4.379s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""Validation Fields TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - myData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(FieldsValidation),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.112s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.002s,PASSED
Statement - row = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - list_first_column = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.000s,PASSED
Statement - list_second_column = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - excel_field_names = new java.util.LinkedHashMap(),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
"Statement - For ([i = 1, i <= row, (i++)])",Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.044s,PASSED
Statement - println(list_first_column),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - println(list_second_column),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
Statement - println(excel_field_names),Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:09,0.001s,PASSED
"Statement - home_page = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Job Type CA PPM Adapte/span_Home), 3)",Chrome 64.0.3282.167,,2018-02-14 11:58:09,2018-02-14 11:58:12,3.157s,PASSED
,,,,,,
Test Cases/Main Test Cases/AddBussinessRule,Chrome 64.0.3282.167,,2018-02-14 11:58:12,2018-02-14 11:58:16,3.834s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:58:13,2018-02-14 11:58:13,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:58:13,2018-02-14 11:58:13,0.000s,PASSED
"Statement - extentTest1 = extent1.startTest(""Add BussinessRules TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:58:13,2018-02-14 11:58:13,0.000s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 11:58:13,2018-02-14 11:58:13,0.000s,PASSED
"Statement - FileProperties_rule = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Page_CA PPM  Overview General/FileProperties), 3)",Chrome 64.0.3282.167,,2018-02-14 11:58:13,2018-02-14 11:58:16,3.151s,PASSED
,,,,,,
Test Cases/Main Test Cases/RunTransactionAdaptorJob,Chrome 64.0.3282.167,"Financial Transaction Adaptor Job :\n\nSteps:\na. Go to Home-> Personal -> Jobs\nb. Search for the \u2018CA PPM Adapter Client\u2019 Job\nc. Open it and enter the parameter value as \""Transaction\"" submit it to run it immediately\n \nExpected Result :\nJob is executed successfully\n",2018-02-14 11:58:16,2018-02-14 11:58:21,4.844s,PASSED
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:58:16,2018-02-14 11:58:16,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:58:16,2018-02-14 11:58:16,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""RunTransactionAdaptor Job TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:58:16,2018-02-14 11:58:16,0.000s,PASSED
Statement - Try,Chrome 64.0.3282.167,,2018-02-14 11:58:16,2018-02-14 11:58:20,3.172s,PASSED
Statement - Catch (Exception e),Chrome 64.0.3282.167,,2018-02-14 11:58:20,2018-02-14 11:58:20,0.691s,PASSED
Statement - Finally,Chrome 64.0.3282.167,,2018-02-14 11:58:20,2018-02-14 11:58:21,0.492s,PASSED
,,,,,,
Test Cases/Main Test Cases/ValidationTestCases,Chrome 64.0.3282.167,Transaction Adaptor Portlet :\n \nAll the validation error messages are displayed\n \nSteps:\n1.From Home -> Custom Objects -> Transaction Adaptor -> All the Validation error messages are displayed.\n \nExpected Result:\nValidation error messages are displayed.\n\n,2018-02-14 11:58:21,2018-02-14 11:58:22,0.723s,ERROR
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.001s,PASSED
"Statement - extentTest1 = extent1.startTest(""Validation ErrorMessages TestCase"")",Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.001s,PASSED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.026s,PASSED
Statement - myData = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Test_Case_Validation),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.050s,PASSED
"Statement - myData.changeSheet(""Error_Messages"")",Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.001s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.004s,PASSED
Statement - row = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
Statement - list = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
"Statement - For ([i = 1, i <= row, (i++)])",Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.014s,PASSED
Statement - println(list),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
"Statement - myData.changeSheet(""Error_Message_Validation"")",Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
Statement - println(myData.getAllData()),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.003s,PASSED
Statement - row1 = myData.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.001s,PASSED
Statement - list1 = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.001s,PASSED
Statement - list2 = new java.util.ArrayList(),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
"Statement - For ([i = 1, i <= row1, (i++)])",Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.016s,PASSED
Statement - println(list1),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.000s,PASSED
Statement - println(list2),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:21,0.002s,PASSED
Statement - myData1 = com.kms.katalon.core.testdata.TestDataFactory.findTestData(Input_File),Chrome 64.0.3282.167,,2018-02-14 11:58:21,2018-02-14 11:58:22,0.009s,PASSED
Statement - input_rows = myData1.getRowNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:58:22,2018-02-14 11:58:22,0.000s,PASSED
Statement - input_coloumns = myData1.getColumnNumbers(),Chrome 64.0.3282.167,,2018-02-14 11:58:22,2018-02-14 11:58:22,0.000s,PASSED
"Statement - home_page = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Job Type CA PPM Adapte/span_Home), 3)",Chrome 64.0.3282.167,,2018-02-14 11:58:22,2018-02-14 11:58:22,0.006s,PASSED
,,,,,,
