Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CAPPM_Adapter_Regression_POC,Chrome 64.0.3282.167,,2018-02-14 12:22:39,2018-02-14 12:24:41,2m - 2.112s,ERROR
,,,,,,
Test Cases/Main Test Cases/LoginCAPPM,Chrome 64.0.3282.167,Login to CA PPM :\n\nSteps:\n1.Enter the URL\n2.Give Username and Password\n\nExpected Result:\nCA PPM Home Page is displayed,2018-02-14 12:22:40,2018-02-14 12:23:55,1m - 15.267s,ERROR
callTestCase,Chrome 64.0.3282.167,,2018-02-14 12:22:41,2018-02-14 12:22:43,1.494s,PASSED
callTestCase,Chrome 64.0.3282.167,,2018-02-14 12:22:43,2018-02-14 12:22:44,1.420s,PASSED
newpackage.newkeyword.keywordName,Chrome 64.0.3282.167,,2018-02-14 12:22:44,2018-02-14 12:22:45,0.407s,PASSED
Statement - extent1 = extent,Chrome 64.0.3282.167,,2018-02-14 12:22:45,2018-02-14 12:22:45,0.001s,PASSED
Statement - extentTest1 = test,Chrome 64.0.3282.167,,2018-02-14 12:22:45,2018-02-14 12:22:45,0.002s,PASSED
"Statement - extentTest1 = extent1.startTest(""LoginPage TestCase"")",Chrome 64.0.3282.167,,2018-02-14 12:22:45,2018-02-14 12:22:45,0.001s,PASSED
openBrowser,Chrome 64.0.3282.167,,2018-02-14 12:22:45,2018-02-14 12:22:50,5.310s,PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-02-14 12:22:50,2018-02-14 12:22:51,1.145s,PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-02-14 12:22:51,2018-02-14 12:23:33,42.247s,PASSED
"Statement - extentTest1.log(INFO, ""Browser Launched"")",Chrome 64.0.3282.167,,2018-02-14 12:23:33,2018-02-14 12:23:33,0.013s,PASSED
"Statement - username = com.kms.katalon.core.webui.common.WebUiCommonHelper.findWebElement(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(CAPPM/Page_CA PPM  Login/input_userName), 3)",Chrome 64.0.3282.167,,2018-02-14 12:23:33,2018-02-14 12:23:55,21.531s,PASSED
,,,,,,
